fiscal_year,kan_no,kan_name,ko_no,ko_name,moku_no,moku_name,initial_budget,supplementary,carryover_in,reserve_or_transfer,budget_total,expended,carryover_out,carryover_out_continuing,carryover_out_explicit,carryover_out_accident,unused,source
2019,13,諸支出金,1,基金費,1,財政調整基金費,1284000,168000,0,0,1452000,1087051,,0,0,0,364949,R1決算書p95
2019,13,諸支出金,1,基金費,2,減債基金費,1504000,0,0,0,1504000,1503288,,0,0,0,712,R1決算書p95
2019,13,諸支出金,1,基金費,3,公共施設等整備基金費,2315000,41511000,0,0,43826000,43825856,,0,0,0,144,R1決算書p95
2019,13,諸支出金,1,基金費,4,文教施設整備基金費,42000,0,0,0,42000,41899,,0,0,0,101,R1決算書p95
2019,13,諸支出金,1,基金費,5,ふるさとづくり基金費,4393000,200000,0,0,4593000,4592806,,0,0,0,194,R1決算書p95
2019,13,諸支出金,1,基金費,6,高齢者福祉基金費,55000,0,0,0,55000,54434,,0,0,0,566,R1決算書p95
2019,13,諸支出金,1,基金費,13,奨学資金貸付基金,50000,0,0,0,50000,50000,,0,0,0,0,R1決算書p95
2019,14,予備費,1,予備費,1,予備費,10000000,0,0,0,10000000,0,,0,0,0,10000000,R1決算書p96
2020,1,議会費,1,議会費,1,議会費,26632000,-852000,0,0,25780000,25775413,,0,0,0,4587,R2決算書p27
2020,2,総務費,1,総務管理費,1,一般管理費,144966000,106717000,0,0,251683000,236529490,,0,0,0,15153510,R2決算書p27
2020,2,総務費,1,総務管理費,2,文書広報費,53760000,-671000,0,0,53089000,52885356,,0,0,0,203644,R2決算書p30
2020,2,総務費,1,総務管理費,3,財政管理費,10244000,0,0,0,10244000,10216030,,0,0,0,27970,R2決算書p31
2020,2,総務費,1,総務管理費,5,財産管理費,19773000,-1141000,34100000,0,52732000,51926891,,0,0,0,805109,R2決算書p31
2020,2,総務費,1,総務管理費,6,企画費,62284000,12220000,0,0,74504000,49521572,,0,21526000,0,3456428,R2決算書p32
2020,2,総務費,1,総務管理費,8,交通安全対策費,3580000,13482000,0,0,17062000,10063126,,0,6700000,0,298874,R2決算書p34
2020,2,総務費,1,総務管理費,9,電子計算費,25035000,4440000,0,0,29475000,26447406,,0,0,0,3027594,R2決算書p35
2020,2,総務費,1,総務管理費,10,ＣＡＴＶ事業費,63434000,751000,0,0,64185000,55354647,,0,0,0,8830353,R2決算書p36
2020,2,総務費,2,徴税費,1,税務総務費,21919000,-1425000,0,0,20494000,20396481,,0,0,0,97519,R2決算書p37
2020,2,総務費,2,徴税費,2,賦課徴収費,3706000,-2782000,0,0,924000,923254,,0,0,0,746,R2決算書p38
2020,2,総務費,3,戸籍住民基本台帳費,1,戸籍住民基本台帳費,27237000,-300000,0,0,26937000,24719119,,0,2189000,0,28881,R2決算書p38
2020,2,総務費,4,選挙費,1,選挙管理委員会費,247000,-156000,0,0,91000,89700,,0,0,0,1300,R2決算書p39
2020,2,総務費,4,選挙費,4,村長選挙費,3049000,-930000,0,0,2119000,1911678,,0,0,0,207322,R2決算書p39
2020,2,総務費,4,選挙費,7,村議会議員選挙費,0,459000,0,0,459000,415330,,0,0,0,43670,R2決算書p40
2020,2,総務費,5,統計調査費,2,指定統計調査費,1821000,12000,0,0,1833000,1582315,,0,0,0,250685,R2決算書p40
2020,2,総務費,6,監査委員費,1,監査委員費,593000,-59000,0,0,534000,491485,,0,0,0,42515,R2決算書p40
2020,2,総務費,7,国土調査費,1,地籍調査費,16862000,-104000,12594000,0,29352000,28440777,,0,0,0,911223,R2決算書p40
2020,3,民生費,1,社会福祉費,1,社会福祉総務費,69374000,-846000,0,8127,68536127,61670458,,0,550000,0,6315669,R2決算書p42
