fiscal_year,kan_no,kan_name,ko_no,ko_name,moku_no,moku_name,jigyo_name,setsu_no,setsu_name,level,is_leaf,saisetsu_name,saisaisetsu_name,dan2_name,dan3_name,dan4_name,amount,source
2018,2,総務費,1,総務管理費,2,文書広報費,文書広報一般経費,12,役務費,2,0,01通信運搬費,,,,,1876098,H30決算書pNone
2018,2,総務費,1,総務管理費,2,文書広報費,文書広報一般経費,12,役務費,3,1,01通信運搬費,01郵便料,,,,1579286,H30決算書pNone
2018,2,総務費,1,総務管理費,2,文書広報費,文書広報一般経費,12,役務費,3,1,01通信運搬費,02運搬費（宅急便）,,,,74112,H30決算書pNone
2018,2,総務費,1,総務管理費,2,文書広報費,文書広報一般経費,12,役務費,3,1,01通信運搬費,03電波利用料（情報無線）,,,,222700,H30決算書pNone
2018,2,総務費,1,総務管理費,2,文書広報費,文書広報一般経費,13,委託料,1,0,,,,,,1274400,H30決算書pNone
2018,2,総務費,1,総務管理費,2,文書広報費,文書広報一般経費,13,委託料,2,0,21保守管理委託料,,,,,1274400,H30決算書pNone
2018,2,総務費,1,総務管理費,2,文書広報費,文書広報一般経費,13,委託料,3,1,21保守管理委託料,01情報無線保守委託料,,,,1274400,H30決算書pNone
2018,2,総務費,1,総務管理費,2,文書広報費,文書広報一般経費,15,工事請負費,1,0,,,,,,3013200,H30決算書pNone
2018,2,総務費,1,総務管理費,2,文書広報費,文書広報一般経費,15,工事請負費,2,0,31単独事業,,,,,3013200,H30決算書p31
2018,2,総務費,1,総務管理費,2,文書広報費,文書広報一般経費,15,工事請負費,3,1,31単独事業,02同報無線改修工事,,,,3013200,H30決算書p31
2018,2,総務費,1,総務管理費,3,財政管理費,財政一般経費,,,0,0,,,,,,8676625,H30決算書pNone
2018,2,総務費,1,総務管理費,3,財政管理費,財政一般経費,11,需用費,1,0,,,,,,47425,H30決算書pNone
2018,2,総務費,1,総務管理費,3,財政管理費,財政一般経費,11,需用費,2,0,01消耗品,,,,,47425,H30決算書pNone
2018,2,総務費,1,総務管理費,3,財政管理費,財政一般経費,11,需用費,3,1,01消耗品,01図書購入費,,,,47425,H30決算書pNone
2018,2,総務費,1,総務管理費,3,財政管理費,財政一般経費,13,委託料,1,0,,,,,,8629200,H30決算書pNone
2018,2,総務費,1,総務管理費,3,財政管理費,財政一般経費,13,委託料,2,0,11電算委託料,,,,,540000,H30決算書pNone
2018,2,総務費,1,総務管理費,3,財政管理費,財政一般経費,13,委託料,3,1,11電算委託料,01公会計制度システム保守委託料,,,,540000,H30決算書pNone
2018,2,総務費,1,総務管理費,3,財政管理費,財政一般経費,13,委託料,2,0,21保守管理委託料,,,,,939600,H30決算書pNone
2018,2,総務費,1,総務管理費,3,財政管理費,財政一般経費,13,委託料,3,1,21保守管理委託料,01公有財産管理システム保守料,,,,939600,H30決算書pNone
2018,2,総務費,1,総務管理費,3,財政管理費,財政一般経費,13,委託料,2,0,51業務委託料,,,,,7149600,H30決算書pNone
2018,2,総務費,1,総務管理費,3,財政管理費,財政一般経費,13,委託料,3,1,51業務委託料,03財務書類作成業務委託料,,,,2494800,H30決算書pNone
2018,2,総務費,1,総務管理費,3,財政管理費,財政一般経費,13,委託料,3,1,51業務委託料,04資産台帳更新委託料,,,,4654800,H30決算書pNone
2018,2,総務費,1,総務管理費,5,財産管理費,財産管理経費,,,0,0,,,,,,11245393,H30決算書pNone
2018,2,総務費,1,総務管理費,5,財産管理費,財産管理経費,11,需用費,1,0,,,,,,6630346,H30決算書pNone
2018,2,総務費,1,総務管理費,5,財産管理費,財産管理経費,11,需用費,2,0,01消耗品,,,,,384331,H30決算書pNone
2018,2,総務費,1,総務管理費,5,財産管理費,財産管理経費,11,需用費,3,1,01消耗品,01庁舎消耗品,,,,243496,H30決算書pNone
2018,2,総務費,1,総務管理費,5,財産管理費,財産管理経費,11,需用費,3,1,01消耗品,02モップ・マット,,,,140835,H30決算書pNone
2018,2,総務費,1,総務管理費,5,財産管理費,財産管理経費,11,需用費,2,0,41光熱水費,,,,,5392319,H30決算書pNone
2018,2,総務費,1,総務管理費,5,財産管理費,財産管理経費,11,需用費,3,1,41光熱水費,01電気料,,,,2889171,H30決算書pNone
2018,2,総務費,1,総務管理費,5,財産管理費,財産管理経費,11,需用費,3,1,41光熱水費,02水道料,,,,264406,H30決算書pNone
2018,2,総務費,1,総務管理費,5,財産管理費,財産管理経費,11,需用費,3,1,41光熱水費,03灯油代,,,,2177595,H30決算書pNone
2018,2,総務費,1,総務管理費,5,財産管理費,財産管理経費,11,需用費,3,1,41光熱水費,04ガス代,,,,61147,H30決算書pNone
2018,2,総務費,1,総務管理費,5,財産管理費,財産管理経費,11,需用費,2,0,51修繕費,,,,,853696,H30決算書pNone
2018,2,総務費,1,総務管理費,5,財産管理費,財産管理経費,11,需用費,3,1,51修繕費,01建物修繕費,,,,478180,H30決算書pNone
2018,2,総務費,1,総務管理費,5,財産管理費,財産管理経費,11,需用費,3,1,51修繕費,02その他修繕費,,,,375516,H30決算書pNone
2018,2,総務費,1,総務管理費,5,財産管理費,財産管理経費,12,役務費,1,0,,,,,,1185907,H30決算書pNone
2018,2,総務費,1,総務管理費,5,財産管理費,財産管理経費,12,役務費,2,0,01通信運搬費,,,,,1022428,H30決算書pNone
2018,2,総務費,1,総務管理費,5,財産管理費,財産管理経費,12,役務費,3,1,01通信運搬費,01電話料,,,,986067,H30決算書pNone
