fiscal_year,kan_no,kan_name,ko_no,ko_name,moku_no,moku_name,initial_budget,supplementary,carryover_in,budget_total,assessed,received,bad_debt,uncollected,source
2020,14,県支出金,2,県補助金,1,総務費県補助金,6626000,0,9000000,15626000,15626000,15626000,0,0,R2決算書p18
2020,14,県支出金,2,県補助金,2,民生費県補助金,3735000,-392000,0,3343000,3343000,3343000,0,0,R2決算書p18
2020,14,県支出金,2,県補助金,3,衛生費県補助金,1057000,135000,0,1192000,1192000,1192000,0,0,R2決算書p19
2020,14,県支出金,2,県補助金,4,農林水産業費県補助金,10294000,-3463000,0,6831000,6948459,6948459,0,0,R2決算書p19
2020,14,県支出金,2,県補助金,5,土木費県補助金,146000,-98000,0,48000,48250,48250,0,0,R2決算書p19
2020,14,県支出金,2,県補助金,7,商工費県補助金,3652000,5241000,0,8893000,8893000,8893000,0,0,R2決算書p19
2020,14,県支出金,2,県補助金,8,教育費県補助金,25000,0,0,25000,25000,25000,0,0,R2決算書p20
2020,14,県支出金,3,県委託金,1,総務費県委託金,3672000,-61000,0,3611000,3612741,3612741,0,0,R2決算書p20
2020,14,県支出金,3,県委託金,2,民生費県委託金,1000,0,0,1000,820,820,0,0,R2決算書p20
2020,14,県支出金,3,県委託金,3,農林水産業費県委託金,449000,27000,0,476000,476000,476000,0,0,R2決算書p20
2020,15,財産収入,1,財産運用収入,1,財産貸付収入,2497000,1485000,0,3982000,3673996,3673996,0,0,R2決算書p20
2020,15,財産収入,1,財産運用収入,2,利子及び配当金,7297000,-961000,0,6336000,6562428,6562428,0,0,R2決算書p21
2020,15,財産収入,2,財産売払収入,1,不動産売払収入,2000000,1338000,0,3338000,3338212,3338212,0,0,R2決算書p21
2020,15,財産収入,2,財産売払収入,3,生産物売払収入,176000,-33000,0,143000,143680,143680,0,0,R2決算書p21
2020,16,寄付金,1,寄付金,1,寄付金,8400000,9180000,0,17580000,17630072,17630072,0,0,R2決算書p21
2020,17,繰入金,1,基金繰入金,1,財政調整基金繰入金,0,0,0,0,0,0,0,0,R2決算書p22
2020,17,繰入金,1,基金繰入金,2,減債基金繰入金,150000000,-150000000,0,0,0,0,0,0,R2決算書p22
2020,17,繰入金,1,基金繰入金,5,ふるさとづくり基金繰入金,3500000,500000,0,4000000,4000000,4000000,0,0,R2決算書p22
2020,18,繰越金,1,繰越金,1,前年度繰越金,30000000,38550000,287402837,355952837,355953587,355953587,0,0,R2決算書p22
2020,19,諸収入,1,延滞金加算金及び過料,1,延滞金,7000,1000,0,8000,8000,8000,0,0,R2決算書p22
2020,19,諸収入,2,預金利子,1,村預金利子,121000,2000,0,123000,10182,10182,0,0,R2決算書p22
2020,19,諸収入,3,貸付金元利収入,1,貸付金元利収入,300000,-300000,0,0,0,0,0,0,R2決算書p23
2020,19,諸収入,4,受託事業収入,1,農林水産業費受託事業収入,5182000,-470000,0,4712000,4748516,4748516,0,0,R2決算書p23
2020,19,諸収入,4,受託事業収入,2,授産事業受託収入,6330000,-1876000,0,4454000,4453923,4453923,0,0,R2決算書p23
2020,19,諸収入,4,受託事業収入,3,特定健康診査等受託料,1042000,-83000,0,959000,959980,959980,0,0,R2決算書p23
2020,19,諸収入,5,雑入,1,雑入,25337000,20622000,0,45959000,42140845,42138559,0,2286,R2決算書p23
2020,19,諸収入,5,雑入,4,介護給付費収入,5760000,800000,0,6560000,6577080,6577080,0,0,R2決算書p25
2020,20,村債,1,村債,1,総務債,256000000,-64000000,231000000,423000000,371600000,371600000,0,0,R2決算書p25
2020,20,村債,1,村債,2,土木債,3400000,-1000000,0,2400000,2400000,2400000,0,0,R2決算書p25
2020,20,村債,1,村債,3,災害復旧債,0,26500000,100000,26600000,24000000,24000000,0,0,R2決算書p26
2021,1,村税,1,村民税,1,個人村民税,25429000,787000,0,26216000,26275729,25808176,0,467553,R3決算書p10
2021,1,村税,1,村民税,2,法人村民税,22604000,-6739000,0,15865000,15866200,15766200,0,100000,R3決算書p10
